School,G,W,L,W-L%,SRS,SOS,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,Season
Louisiana-Monroe,32,7,25,0.219,-15.1,-4.3,2205,2417,68.7,99.6,0.309,0.343,0.501,49.1,52.8,10.3,7,0.464,14.5,30.2,0.22,2023
Louisville NCAA,35,27,8,0.771,18.49,9.49,2747,2432,69,113.3,0.337,0.478,0.567,52.7,51.3,9.2,8.1,0.532,14,31.9,0.251,2023
Loyola (IL),37,25,12,0.676,3.41,0.19,2721,2553,67.4,108,0.322,0.429,0.556,51.5,60.8,9.1,13.4,0.532,15.2,29.6,0.218,2023
Loyola (MD),31,12,19,0.387,-11.85,-8.48,2145,2205,67,102.8,0.295,0.396,0.529,50.3,55,10.7,7.9,0.5,15.5,29.3,0.206,2023
Loyola Marymount,32,17,15,0.531,1.2,2.94,2279,2290,68.7,103.6,0.285,0.404,0.537,47,51.5,8.4,10.3,0.507,13.6,22.9,0.206,2023
Maine,34,20,14,0.588,-6.58,-8.4,2409,2248,67.1,105.2,0.281,0.329,0.551,46.1,56.4,13.5,10.3,0.521,13.9,23.1,0.206,2023
Manhattan,31,17,14,0.548,-7.67,-8.37,2365,2327,67.5,110.8,0.32,0.415,0.549,50.7,56.3,9.2,6.8,0.51,14.3,33.1,0.246,2023
Marist,30,20,10,0.667,-8.95,-10.45,1979,1934,64.2,101.5,0.224,0.376,0.522,52.7,55.8,8.9,9.7,0.499,15.9,30.6,0.158,2023
Marquette NCAA,34,23,11,0.676,18.19,10.37,2603,2337,68.1,111.6,0.259,0.464,0.546,48.7,49.5,13.1,10.7,0.52,11.8,30,0.187,2023
Marshall,33,20,13,0.606,-2.26,-4.52,2499,2366,69.2,109,0.341,0.403,0.537,51.6,54.6,9.6,14.2,0.505,14.1,33.5,0.236,2023
Maryland NCAA,36,27,9,0.75,23.33,9.41,2919,2418,70.4,114.8,0.331,0.354,0.57,51.7,49.1,11.2,11.8,0.536,12.4,30.7,0.248,2023
Maryland-Baltimore County,32,13,19,0.406,-11.56,-8.21,2559,2522,71.6,110,0.312,0.387,0.581,45.5,50.5,10.1,6.4,0.559,14.2,22,0.216,2023
Maryland-Eastern Shore,31,6,25,0.194,-20.65,-4.47,2090,2410,68.7,98.2,0.349,0.367,0.515,47.5,48.9,7.7,5.6,0.484,17,27.8,0.232,2023
Massachusetts,32,12,20,0.375,-3.08,0.15,2333,2399,71,101.2,0.342,0.321,0.489,51.2,49.1,10.8,13.4,0.455,13.6,34.8,0.227,2023
Massachusetts-Lowell,32,17,15,0.531,-7.64,-7.6,2543,2371,70.3,112.2,0.341,0.347,0.594,52,53.7,8.3,10.4,0.558,15.8,27.5,0.263,2023
McNeese State NCAA,35,28,7,0.8,9.14,-1.05,2680,2256,66.4,115.3,0.349,0.368,0.569,52.3,50.8,13.6,11.6,0.542,13.9,34.9,0.243,2023
Memphis NCAA,35,29,6,0.829,12.15,5.66,2795,2568,71.2,111,0.393,0.333,0.567,52.1,51.5,10.8,13.3,0.535,16.5,35.3,0.276,2023
Mercer,33,14,19,0.424,-8.44,-5.11,2511,2485,72.4,103.9,0.289,0.402,0.522,50.6,47.4,11.5,7.8,0.5,14.2,29.7,0.189,2023
Mercyhurst,31,15,16,0.484,-15.65,-9.68,2105,2167,65.4,102.6,0.308,0.358,0.539,44.8,57,11.1,6.9,0.494,14.6,23.8,0.247,2023
Merrimack,33,18,15,0.545,-4.65,-6.04,2166,2120,64.7,100.7,0.244,0.429,0.521,41.3,49.7,14.6,10.6,0.494,12.5,20.8,0.177,2023
Miami (FL),31,7,24,0.226,0.38,7.03,2294,2500,67.6,108.6,0.264,0.385,0.551,48.2,47,9.4,9.6,0.519,14,28.2,0.202,2023
Miami (OH),34,25,9,0.735,-0.92,-5.36,2740,2473,70.6,113.8,0.275,0.447,0.592,50.4,55.8,11.3,10.3,0.57,15.1,28.4,0.199,2023
Michigan NCAA,37,27,10,0.73,20.21,13.69,2885,2644,70.7,109.5,0.357,0.42,0.571,53,58,7.5,9.5,0.538,17,33.2,0.26,2023
Michigan State NCAA,37,30,7,0.811,22.43,11.89,2874,2484,69,112.3,0.377,0.329,0.556,56.3,61.1,7.7,13.2,0.509,14,35.3,0.294,2023
Middle Tennessee,34,22,12,0.647,2.52,1.02,2608,2466,69.2,108.1,0.329,0.393,0.541,51.8,45.2,9.3,11.2,0.516,14,31.4,0.22,2023
Milwaukee,32,21,11,0.656,0.35,-3.79,2510,2295,69.9,111.4,0.382,0.316,0.548,56.8,50.4,10.9,9.4,0.517,15.6,40.5,0.261,2023
Minnesota,32,15,17,0.469,8.48,10.14,2178,2231,63.8,104.6,0.315,0.359,0.525,49.4,61.3,9.3,12.9,0.499,14.3,30.2,0.209,2023
Mississippi NCAA,36,24,12,0.667,18.28,12.8,2779,2582,69.2,110.8,0.353,0.4,0.552,47.1,53.2,12.6,11.8,0.514,11.4,25.5,0.26,2023
Mississippi State NCAA,34,21,13,0.618,17.14,11.79,2704,2522,69.6,113,0.315,0.427,0.548,51.5,53.2,13,13.8,0.519,12.9,33.9,0.221,2023
Mississippi Valley State,31,3,28,0.097,-34.6,-4.77,1678,2506,66.6,81.3,0.307,0.302,0.467,43.1,42.3,9,5.4,0.434,21.8,23.4,0.203,2023
Missouri NCAA,34,22,12,0.647,19.49,9.49,2844,2504,69.8,119.4,0.471,0.414,0.596,50.9,49.7,13.4,7.3,0.558,13.4,33.5,0.344,2023
Missouri State,32,9,23,0.281,-3.94,0.52,2175,2268,64.6,102.4,0.347,0.368,0.538,51.3,50.3,11.1,8.1,0.513,17.8,32,0.228,2023
Monmouth,33,13,20,0.394,-8.14,-3.11,2321,2487,67.3,103.3,0.367,0.346,0.518,47.3,49.6,8.7,12.7,0.472,14,29.8,0.273,2023
Montana NCAA,35,25,10,0.714,-1.45,-1.6,2680,2565,68,112.3,0.349,0.37,0.594,49.2,49.2,9.2,8.4,0.565,14.4,23.7,0.256,2023
Montana State,33,15,18,0.455,-2.77,-2.71,2354,2298,66.7,106.6,0.311,0.432,0.559,47,52.1,9.5,9.1,0.529,13.5,21.6,0.226,2023
Morehead State,32,15,17,0.469,-13.65,-7.52,2116,2199,65.8,100.2,0.37,0.345,0.506,53.3,49.7,8.5,7,0.47,15.3,31.9,0.25,2023
Morgan State,32,14,18,0.438,-15.13,-8.55,2559,2584,73,108.2,0.356,0.219,0.551,50.1,43.7,9.4,11.3,0.514,15.7,34.7,0.259,2023
Mount St. Mary's NCAA,36,23,13,0.639,-7.91,-6.48,2524,2538,68,101.7,0.311,0.411,0.546,52.9,60.4,8.7,8.2,0.512,18.9,30.9,0.229,2023
Murray State,33,16,17,0.485,0.81,0.4,2371,2282,65.8,106.7,0.412,0.4,0.544,51,49.7,9.9,8.1,0.502,14.7,29.4,0.297,2023
Navy,34,15,19,0.441,-9.9,-8.78,2407,2393,66.8,105.5,0.334,0.372,0.525,51.5,54,9.7,8.2,0.486,13.8,31.4,0.245,2023
NC State,31,12,19,0.387,5.56,6.36,2158,2183,65.8,105.4,0.323,0.362,0.52,47.2,51.6,9.8,10.2,0.483,12.5,28.8,0.234,2023
Nebraska,35,21,14,0.6,13.86,10.46,2660,2541,69,108.5,0.355,0.385,0.559,50.1,53.4,10.2,9,0.521,14.3,27.1,0.266,2023
Nevada,33,17,16,0.515,9.44,5.25,2386,2248,64.9,110.6,0.373,0.375,0.568,50.7,58.8,9.5,12.4,0.537,13.8,27.4,0.262,2023
Nevada-Las Vegas,33,18,15,0.545,6.65,5.53,2285,2248,66,104.9,0.358,0.346,0.535,49.1,49.6,9.9,11.5,0.497,14.1,27.3,0.257,2023
New Hampshire,32,8,24,0.25,-19.8,-7.47,2124,2450,69,96.2,0.268,0.409,0.503,47.9,46.5,8.2,6.7,0.479,16.7,27.9,0.177,2023
New Mexico NCAA,35,27,8,0.771,15.2,6.52,2819,2472,72.8,109.9,0.367,0.319,0.546,52.5,51.6,11.9,13.9,0.515,13.4,31.7,0.253,2023
New Mexico State,32,17,15,0.531,0.86,0.41,2229,2110,67.1,103.4,0.334,0.375,0.508,52.8,47.4,9.5,7.3,0.475,13.7,33.2,0.225,2023
New Orleans,31,4,27,0.129,-15.16,-0.61,2105,2556,69.5,96.9,0.339,0.307,0.493,47.7,50.1,10.4,7.1,0.459,16,31.6,0.227,2023
Niagara,31,11,20,0.355,-12.79,-8.56,2122,2214,65.2,103.7,0.307,0.429,0.558,48.3,52.2,9.4,6.5,0.526,16.7,23.8,0.227,2023
Nicholls State,33,20,13,0.606,-2.13,-2.46,2443,2296,68.9,106.6,0.329,0.36,0.522,50.1,43,11.6,10.6,0.49,13,31.4,0.226,2023
NJIT,31,6,25,0.194,-17.92,-7.85,2023,2269,67.1,96.8,0.271,0.379,0.494,48.6,43,7.1,9.6,0.458,15.5,29.1,0.198,2023
Norfolk State NCAA,35,24,11,0.686,-3.72,-6.65,2696,2440,68.2,112.2,0.383,0.286,0.575,51.5,50,10.2,9.1,0.535,15.6,32.9,0.29,2023
North Alabama,35,24,11,0.686,1.02,-5.5,2753,2471,67.7,115.4,0.316,0.348,0.548,52.4,42.3,11,9.7,0.518,11,34,0.224,2023
North Carolina NCAA,37,23,14,0.622,17.27,11.22,2987,2763,70.7,113.4,0.348,0.372,0.575,52.1,51.7,8.4,9.6,0.541,13.3,29.1,0.257,2023
North Carolina A&T,32,7,25,0.219,-13.28,-4.31,2213,2439,69.5,99.5,0.313,0.366,0.497,47.6,45.3,8.9,8,0.464,13.3,27.3,0.215,2023
North Carolina Central,33,14,19,0.424,-12.91,-8.05,2600,2501,70.3,110.3,0.381,0.347,0.552,50,56.8,11.7,6.5,0.52,15.7,37.2,0.265,2023
North Dakota,33,12,21,0.364,-7.39,-1.49,2550,2624,70.4,109.8,0.328,0.402,0.533,51.9,45.1,8.1,6.9,0.5,13.6,34.1,0.232,2023
North Dakota State,32,21,11,0.656,1.11,-3.58,2595,2386,66.4,120.2,0.334,0.523,0.613,51.3,55.1,5.4,4.9,0.581,13.6,28.2,0.259,2023
North Florida,32,15,17,0.469,-8.48,-3.74,2651,2712,73.2,111.9,0.243,0.54,0.559,47.1,55.2,8.5,7.1,0.54,13.1,28.7,0.167,2023
North Texas,36,27,9,0.75,7.7,0.84,2447,2165,61.4,110.7,0.355,0.364,0.556,52.8,44.5,12.3,8.2,0.513,14.4,33,0.273,2023
Northeastern,32,17,15,0.531,-4.64,-5.08,2243,2229,67.1,104.4,0.28,0.348,0.536,50.1,49.7,11.3,12.6,0.511,16,31.4,0.193,2023
Northern Arizona,34,18,16,0.529,-6.53,-5.73,2581,2435,68,111.6,0.286,0.375,0.542,53.8,52.9,9,4.3,0.521,12.6,33,0.189,2023
Northern Colorado,35,25,10,0.714,1.1,-3.84,2822,2545,68.8,116,0.328,0.383,0.605,53.4,53.9,8.8,6.3,0.58,14.2,26.7,0.238,2023
Northern Illinois,31,6,25,0.194,-16.6,-4.52,2199,2383,70.9,98.9,0.302,0.479,0.522,44.4,51.3,8.5,9.9,0.49,14.4,19.5,0.213,2023
Northern Iowa,33,20,13,0.606,5.24,0.46,2418,2223,65.7,111.1,0.352,0.359,0.578,51.1,52.6,9,9.2,0.552,14.3,25.7,0.244,2023
Northern Kentucky,33,17,16,0.515,-4.79,-3.14,2371,2377,67.4,104.9,0.314,0.397,0.53,49.2,54.8,11.3,9.4,0.504,15.1,32,0.21,2023
Northwestern,33,17,16,0.515,14.4,11.13,2390,2282,66.1,107.9,0.313,0.342,0.533,49.8,55.8,10.3,10.7,0.498,12.8,31.2,0.23,2023
Northwestern State,32,16,16,0.5,-5.07,-1.44,2146,2204,64.8,102.7,0.327,0.359,0.529,50.8,53.8,10.4,12.5,0.494,17.2,33.6,0.234,2023
Notre Dame,33,15,18,0.455,7.07,6.92,2397,2392,65.4,108.2,0.318,0.375,0.551,51.9,44.2,8.3,5.1,0.517,14.4,29.6,0.235,2023
Oakland,34,16,18,0.471,-2.67,-0.95,2402,2436,64.6,106.9,0.312,0.425,0.531,51.1,51.1,9.9,8.7,0.501,15.2,34.8,0.218,2023
Ohio,32,16,16,0.5,-2.63,-4.37,2554,2449,71.6,110.6,0.33,0.402,0.576,48.1,50.1,10,7.4,0.541,13.6,24.1,0.251,2023
Ohio State,32,17,15,0.531,17.86,12.58,2522,2353,68.5,112.4,0.358,0.377,0.572,49.7,48.1,9.3,10,0.535,13.7,28.9,0.268,2023
Oklahoma NCAA,34,20,14,0.588,14.86,11.22,2661,2537,69.9,112,0.399,0.416,0.591,48.3,51.6,11.2,6.8,0.544,15.4,26.6,0.317,2023
Oklahoma State,35,17,18,0.486,6.89,10.18,2556,2671,71.9,101.5,0.41,0.347,0.53,50.2,51.4,12.6,8.9,0.486,16.6,31.1,0.294,2023
Old Dominion,35,15,20,0.429,-9.71,-4.25,2376,2502,66.2,101.8,0.316,0.358,0.487,51.7,44,8.3,9,0.447,14.1,36.5,0.226,2023
Omaha NCAA,35,22,13,0.629,-1.61,-2.43,2707,2634,69.1,112,0.363,0.394,0.563,52,49.4,8.6,7.4,0.529,13.6,29.7,0.262,2023
Oral Roberts,30,7,23,0.233,-11.71,-0.78,2200,2356,68.3,106.9,0.348,0.457,0.557,46.5,41.5,7.2,6.7,0.519,15,24.5,0.262,2023
Oregon NCAA,35,25,10,0.714,18,12.32,2679,2480,68.7,110.2,0.33,0.383,0.562,51.5,52.9,10.3,9.9,0.525,14.2,30.5,0.25,2023
Oregon State,33,20,13,0.606,8.62,2.24,2516,2276,65.1,115.8,0.381,0.354,0.591,53.3,54.8,9.9,9.3,0.548,14.6,32.2,0.299,2023
Pacific,33,9,24,0.273,-7.11,2.09,2295,2500,68.2,101.3,0.326,0.375,0.528,50.7,51.4,8.3,8.3,0.491,16.6,29.5,0.236,2023
Penn State,31,16,15,0.516,13.57,7.7,2452,2270,71,111.4,0.379,0.362,0.58,50.2,57.8,11.4,11.3,0.541,15.4,28.6,0.287,2023
Pennsylvania,27,8,19,0.296,-10.56,-2.74,1878,2089,67.5,102.6,0.289,0.444,0.523,48.3,55.7,7.3,4.7,0.494,14.3,26.8,0.202,2023
Pepperdine,35,13,22,0.371,-2.82,2.56,2560,2681,69.5,105.3,0.314,0.347,0.535,49.4,60.1,8.8,7.3,0.503,13.9,28.2,0.225,2023
Pittsburgh,32,17,15,0.531,13.27,8.24,2428,2267,66.8,112.6,0.342,0.414,0.564,49.5,51.4,10.8,12.5,0.522,12.9,29,0.267,2023
Portland,32,12,20,0.375,-7.29,2.17,2334,2574,69.5,103.4,0.316,0.428,0.551,47.9,61.6,6.6,8.1,0.511,16.1,24.1,0.245,2023
Portland State,32,19,13,0.594,-4.41,-5.27,2418,2227,69.9,107.6,0.321,0.318,0.543,52.4,51.3,11.7,14,0.525,15.5,34.2,0.202,2023
Prairie View,32,5,27,0.156,-19.3,-7.3,2286,2637,71.7,99.6,0.341,0.337,0.522,41.8,47.6,11.3,8.1,0.489,14.8,24.8,0.236,2023
Presbyterian,33,14,19,0.424,-6.68,-4.35,2449,2341,66.5,110.4,0.317,0.34,0.557,50.2,48,10.1,9,0.53,13.7,30,0.221,2023
Princeton,30,19,11,0.633,-2.85,-2.49,2209,2162,68.6,107.4,0.24,0.487,0.544,50,57.5,10.7,6.5,0.52,13.3,27.1,0.171,2023
Providence,32,12,20,0.375,7.17,8.33,2283,2320,66.6,106.6,0.296,0.455,0.546,52.8,51.2,7.4,9.2,0.521,16.3,33.2,0.203,2023
Purdue NCAA,36,24,12,0.667,20.8,13.91,2781,2533,66.2,116.8,0.346,0.384,0.589,51.7,58.3,9.7,5.1,0.559,13.7,31.8,0.254,2023
Purdue Fort Wayne,32,19,13,0.594,-1,-4.06,2583,2388,70.5,113.2,0.284,0.455,0.582,45,47.3,12.2,7.9,0.554,12.1,22.4,0.213,2023
Queens (NC),35,20,15,0.571,-5.41,-4.95,2685,2611,69.7,108.9,0.348,0.444,0.555,51.3,59.9,9.2,13.8,0.528,15.5,31.7,0.239,2023
Quinnipiac,33,20,13,0.606,-5.94,-7.72,2439,2358,71.6,102.9,0.313,0.379,0.524,53.9,52.7,11.5,12.3,0.482,15.4,33.3,0.239,2023
Radford,33,20,13,0.606,-2.72,-3.43,2441,2314,64.9,113.1,0.398,0.366,0.566,53.1,45.4,8.5,9.4,0.521,14.8,34.6,0.304,2023
Rhode Island,31,18,13,0.581,1.06,-0.91,2419,2328,71.2,108.3,0.426,0.378,0.565,51.3,51.9,8.2,8.9,0.531,15.8,28.9,0.296,2023
Rice,32,13,19,0.406,-2.08,-2.12,2249,2249,65.9,105.8,0.434,0.387,0.524,52.3,50.7,7,8.4,0.485,15,33.7,0.296,2023
Richmond,32,10,22,0.313,-5.48,1.45,2137,2302,64.8,100.7,0.311,0.457,0.534,46.5,51.2,9,7.1,0.489,14,19.6,0.246,2023
Rider,33,14,19,0.424,-12.06,-7.24,2211,2370,65.3,102.6,0.296,0.301,0.512,50.4,51.1,8.2,9.1,0.477,14.6,32.2,0.214,2023
Robert Morris NCAA,35,26,9,0.743,0.4,-4.92,2694,2485,68.8,109.8,0.375,0.366,0.55,53.4,60.2,9.1,12.1,0.513,15.6,35.5,0.27,2023
Rutgers,32,15,17,0.469,10.41,10.94,2465,2482,69.4,108.8,0.362,0.363,0.542,49.1,47.7,9.9,10.2,0.506,13.3,30.8,0.26,2023
Sacramento State,32,7,25,0.219,-14.1,-4.06,2119,2257,66.1,100.2,0.311,0.458,0.53,50.2,56,9,10.5,0.504,17.4,27.7,0.21,2023
Sacred Heart,33,15,18,0.455,-9,-8.41,2502,2481,70,107.8,0.262,0.445,0.544,50.9,61.1,10.5,8.6,0.516,15,31.8,0.192,2023
Saint Francis (PA) NCAA,34,16,18,0.471,-12.76,-7.41,2415,2433,67.1,104,0.233,0.421,0.557,49.7,53.7,9.1,7.3,0.534,16.9,26.1,0.169,2023
Saint Joseph's,35,22,13,0.629,7.28,0.85,2627,2402,68.4,109,0.317,0.465,0.551,51.7,56.2,9.5,13.8,0.516,14.2,30.3,0.237,2023
Saint Louis,34,19,15,0.559,3.04,2.04,2527,2423,68.5,107.8,0.306,0.501,0.585,50.2,56.6,9.2,8.2,0.565,16.7,23.7,0.21,2023
Saint Mary's (CA) NCAA,35,29,6,0.829,17.43,6.46,2551,2138,63.7,113.6,0.309,0.334,0.533,57.5,56.3,9.5,10.6,0.504,12.4,39.8,0.215,2023
Saint Peter's,28,12,16,0.429,-10.64,-8.45,1848,1842,65,100.6,0.343,0.382,0.502,53.2,46.3,10.3,10.7,0.458,17.2,37.7,0.254,2023
Sam Houston,32,13,19,0.406,-2.86,1.31,2411,2433,69.1,107.8,0.357,0.384,0.556,50.3,49.8,9.2,8.4,0.52,15.7,31.1,0.259,2023
Samford,33,22,11,0.667,1.13,-3.58,2736,2492,71.8,114.5,0.289,0.464,0.571,50.5,56,13.6,11.6,0.545,15.2,35.4,0.209,2023
San Diego,33,6,27,0.182,-8.37,1.63,2314,2629,71.6,98,0.306,0.357,0.501,47.9,45.9,10.4,10.2,0.459,16,30.1,0.23,2023
San Diego State NCAA,31,21,10,0.677,12.77,8.14,2194,2004,66.4,105.8,0.317,0.402,0.535,49.8,51.2,11.4,18.6,0.509,14.2,29.6,0.21,2023
San Francisco,35,25,10,0.714,10.46,3.87,2660,2420,69,109.7,0.343,0.435,0.559,50.7,52.3,9.5,9.2,0.528,14.7,29.3,0.244,2023
San Jose State,35,15,20,0.429,0.5,4.05,2525,2568,67.1,106.3,0.307,0.407,0.549,48.9,50.7,8.8,7.9,0.514,14.9,28,0.228,2023
Santa Clara,34,21,13,0.618,13.22,4.25,2786,2481,70.1,115.7,0.284,0.464,0.585,53.5,59.5,9.2,8.3,0.56,14.5,32.7,0.207,2023
Seattle,32,14,18,0.438,-0.21,-1.35,2254,2125,67.9,103.7,0.426,0.369,0.521,50.8,51.7,11.9,9.9,0.474,14.4,30.3,0.305,2023
Seton Hall,32,7,25,0.219,-0.26,8.36,1970,2246,64.7,94,0.329,0.305,0.481,47.8,50.7,12.4,11.9,0.447,16.4,31.2,0.218,2023
Siena,32,14,18,0.438,-7.46,-7.58,2311,2307,67.6,105.2,0.373,0.399,0.537,48.7,48.3,10,13.3,0.494,15,28.8,0.277,2023
South Alabama,32,21,11,0.656,1.52,-4.12,2334,2066,64.2,110.9,0.335,0.457,0.549,49.5,56.6,14.2,11.4,0.518,12.3,29,0.236,2023
South Carolina,32,12,20,0.375,9.89,11.55,2233,2286,66.8,103.7,0.433,0.39,0.534,51.6,54.7,8.4,7.8,0.489,15.9,30.4,0.31,2023
South Carolina State,33,20,13,0.606,-4.62,-9.05,2624,2324,71.5,110.3,0.429,0.336,0.566,52.6,57,13.2,9.8,0.529,16.8,36.6,0.304,2023
South Carolina Upstate,32,6,26,0.188,-15.67,-2.7,2393,2673,74.1,100.9,0.312,0.374,0.537,47.3,48.4,10.2,6.3,0.511,16.9,25.8,0.211,2023
South Dakota,33,19,14,0.576,-5.69,-3.49,2812,2763,74.7,114.1,0.44,0.385,0.553,47.5,40.4,10.1,8.6,0.511,11.1,30.8,0.314,2023
South Dakota State,32,20,12,0.625,2.15,-1.82,2546,2352,69.7,114.2,0.306,0.408,0.574,56.5,49.4,6.7,8.2,0.543,14.8,33.8,0.229,2023
South Florida,32,13,19,0.406,-2.15,-0.18,2381,2385,69.7,105.9,0.344,0.374,0.539,47.6,54.6,11.8,9.6,0.503,13.8,28.3,0.248,2023
Southeast Missouri State,33,21,12,0.636,-4.84,-7.8,2442,2212,69.7,105.4,0.279,0.368,0.546,49.2,49.7,11.6,9.6,0.518,13.6,25.2,0.202,2023
Southeastern Louisiana,32,18,14,0.563,-4,-4.67,2324,2232,67.5,106.7,0.346,0.319,0.538,51.5,45.9,10.2,7.3,0.497,14.7,31.5,0.259,2023
Southern,32,20,12,0.625,-6.83,-7.9,2392,2184,70.6,105.1,0.37,0.338,0.522,53.7,48.9,13.6,11.8,0.49,14.9,36,0.247,2023
Southern California,35,17,18,0.486,12.97,10.86,2685,2611,69,110.4,0.355,0.348,0.582,49.6,56.5,9.1,8.7,0.548,15.7,27.9,0.263,2023
Southern Illinois,33,14,19,0.424,-2.22,1.07,2405,2458,68.4,105.7,0.338,0.333,0.546,51.7,53.4,9.1,8.5,0.52,15.8,30.3,0.228,2023
SIU Edwardsville NCAA,34,22,12,0.647,-6.12,-7.44,2436,2260,67.7,105,0.323,0.368,0.52,51.5,52.9,9.7,11.5,0.492,14.2,31.9,0.216,2023
Southern Indiana,30,10,20,0.333,-13.86,-8.4,2144,2204,68.5,103,0.303,0.344,0.523,49.2,44.8,9.7,7.6,0.488,14.6,29,0.221,2023
Southern Methodist,35,24,11,0.686,14.35,5.72,2797,2495,69.3,115.3,0.367,0.351,0.576,53.9,56.1,11.6,10.7,0.545,14.7,36.3,0.262,2023
Southern Mississippi,33,11,22,0.333,-9.91,-3.33,2352,2507,71.4,99,0.334,0.367,0.52,50,56.5,9.6,11.3,0.486,16.9,28.7,0.231,2023
Southern Utah,31,12,19,0.387,-10.63,-2.13,2163,2285,70.8,98.5,0.357,0.326,0.518,50.5,48.9,7.2,9.8,0.476,17.7,31,0.261,2023
St. Bonaventure,34,22,12,0.647,2.92,0.07,2334,2218,65.3,104.7,0.3,0.352,0.533,50.6,43.8,11.5,11,0.499,13.9,28,0.218,2023
St. John's (NY) NCAA,36,31,5,0.861,21.25,8.56,2825,2368,70.1,110.3,0.303,0.31,0.522,53.7,53.6,12.5,14.9,0.492,12.6,37.9,0.21,2023
St. Thomas,34,24,10,0.706,1.01,-4.51,2827,2544,69.8,118.8,0.336,0.462,0.615,47.2,53.6,10.2,9.4,0.582,12.3,22.8,0.262,2023
Stanford,35,21,14,0.6,8.78,6.07,2571,2476,67.1,109.4,0.299,0.417,0.547,50.7,53.9,10.1,10,0.507,13.5,30.9,0.236,2023
Stephen F. Austin,31,14,17,0.452,-8.01,-3.29,2065,2118,68.2,96.5,0.319,0.368,0.501,51.4,51.3,12.1,11.5,0.475,19,35.8,0.202,2023
Stetson,32,8,24,0.25,-16.7,-4.7,2293,2608,69.5,102.4,0.338,0.379,0.546,46.5,46.7,7.4,8.1,0.509,16.5,25,0.249,2023
Stonehill,32,15,17,0.469,-13.12,-9.55,2198,2242,66.3,103.7,0.319,0.445,0.546,49.8,60.7,9.7,7,0.513,16.2,27.5,0.231,2023
Stony Brook,32,8,24,0.25,-13.84,-4.42,2128,2372,64.9,102.5,0.311,0.392,0.52,48.8,48.8,7.9,6.3,0.48,15.5,29.8,0.232,2023
Syracuse,33,14,19,0.424,4.95,8.04,2464,2566,68.7,106.3,0.331,0.327,0.542,52.7,49.9,6.9,6.8,0.51,15.4,31.4,0.234,2023
Tarleton State,32,12,20,0.375,-10.31,-0.31,2025,2227,68.5,92.4,0.422,0.253,0.523,48.9,48.5,13.7,12.2,0.473,22.5,30.7,0.309,2023
TCU,32,16,16,0.5,10.49,11.64,2162,2199,67.1,100.3,0.335,0.347,0.497,50.6,49.9,11.3,10.7,0.468,14.6,33,0.217,2023
Temple,32,17,15,0.531,-0.24,-0.37,2520,2487,69.4,110.9,0.452,0.318,0.553,50.7,41.3,9,9.5,0.506,13.4,31.9,0.333,2023
Tennessee NCAA,38,30,8,0.789,24.2,13.25,2813,2397,64.9,114,0.355,0.434,0.563,53.5,60.6,10.7,15.1,0.525,13.7,35.6,0.265,2023
Tennessee State,33,17,16,0.515,-8.01,-8.71,2577,2418,71.6,106.6,0.404,0.343,0.55,54.2,48.4,9.8,9.9,0.519,17.8,36.3,0.275,2023
Tennessee Tech,32,15,17,0.469,-11.09,-7.82,2308,2371,69,103.8,0.29,0.469,0.541,47,60,9.1,6.5,0.515,14.9,24.2,0.202,2023
Tennessee-Martin,33,14,19,0.424,-11.18,-8.18,2455,2373,68,107,0.342,0.475,0.529,53,53.5,11.6,9.5,0.495,15.7,35.9,0.239,2023
Texas NCAA,35,19,16,0.543,15.65,9.79,2747,2542,68.4,113.1,0.368,0.353,0.566,50.7,47.3,9,11.6,0.526,12.5,29.7,0.275,2023
Texas A&M NCAA,34,23,11,0.676,19.3,13.39,2537,2336,67.8,109.2,0.413,0.377,0.517,55.9,47.4,11.1,13.5,0.476,14.4,41.4,0.286,2023
Texas A&M-Corpus Christi,34,20,14,0.588,-0.99,-3.39,2576,2291,68.5,110.5,0.354,0.294,0.558,53,52.6,11.5,10.3,0.54,15,33.7,0.223,2023
Texas Southern,32,15,17,0.469,-10.27,-8.23,2325,2307,71.6,100.7,0.281,0.353,0.52,49.1,51.8,11.9,9.6,0.488,16.6,30.8,0.203,2023
Texas State,32,16,16,0.5,-3.6,-3.77,2439,2346,67.2,110.9,0.364,0.277,0.556,53,53.6,10.3,11.1,0.515,15.2,35.8,0.276,2023
Texas Tech NCAA,37,28,9,0.757,23.05,10.62,2993,2533,66.5,119.5,0.292,0.445,0.578,53.1,57.2,9.3,8.3,0.547,12.1,34.2,0.222,2023
Texas-Rio Grande Valley,31,16,15,0.516,-6.05,-3.38,2378,2294,71.5,107.4,0.22,0.507,0.548,50.2,61.2,10.6,7,0.527,16.1,31.7,0.156,2023
The Citadel,30,5,25,0.167,-18.37,-4.49,1997,2251,66.3,99.1,0.345,0.455,0.509,48.5,52.1,8.9,6.1,0.486,16.1,28.8,0.213,2023
Toledo,33,18,15,0.545,-6.03,-2.78,2603,2645,69.6,113,0.354,0.284,0.552,49.3,46.7,7.7,7.2,0.512,11.6,30.4,0.265,2023
Towson,33,22,11,0.667,-1.92,-3.57,2309,2201,64.1,108,0.283,0.377,0.512,52.6,42,10,9.9,0.484,12,35.3,0.193,2023
